#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_092310.1	1	59034463	14	1577	0.00267132	3.55724e-05	39.4	20.4
NC_092311.1	1	57716770	24	3215	0.0055703	6.23736e-05	39	20
NC_092312.1	1	76906396	23	2906	0.00377862	4.48467e-05	39.5	40
NC_092313.1	1	77301657	27	3185	0.00412022	5.23921e-05	37.5	23.3
NC_092314.1	1	44587295	6	900	0.00201851	2.01851e-05	39.6	23.7
NC_092315.1	1	49228674	3	442	0.000897851	9.1207e-06	33.7	40
NC_092316.1	1	52323663	8	992	0.00189589	2.29342e-05	39.4	30
NC_092317.1	1	48754064	1829	3029	0.00621282	0.00562712	36.6	1.22
NC_092318.1	1	55030746	16	2154	0.00391418	4.3612e-05	39.9	11.6
NC_092319.1	1	49172495	14	1538	0.00312776	4.27068e-05	39.8	51.4
NC_092320.1	1	63716479	26	3699	0.00580541	6.1193e-05	39.3	9.23
NC_092321.1	1	63214365	13	1616	0.00255638	3.08474e-05	39.7	30.6
NC_092322.1	1	40515400	27	3334	0.00822897	9.9962e-05	39.7	13.1
NC_092323.1	1	50646195	79	10414	0.0205623	0.000233937	38.7	5.39
NC_092324.1	1	53737150	13	1700	0.00316355	3.62877e-05	39.8	46.4
NC_092325.1	1	46623164	7	929	0.00199257	2.2521e-05	40	34.3
NC_092326.1	1	44254144	13	1313	0.00296695	4.40637e-05	39.9	15.5
NC_092327.1	1	41449412	12	1398	0.00337279	4.34264e-05	39.1	36.2
NC_092328.1	1	48872521	20	2732	0.00559005	6.13637e-05	39.7	36.5
NC_092329.1	1	54177763	15	1732	0.00319688	4.1493e-05	39.1	26.5
NC_092330.1	1	45802622	9	1127	0.00246056	2.94743e-05	39.2	26.7
NC_092331.1	1	62661540	197	23605	0.0376706	0.000471501	38.8	7.38
NW_027266172.1	1	81056	1	150	0.185057	0.00185057	39.9	0
NW_027266204.1	1	39518	2	171	0.432714	0.00759148	39.8	0
NW_027266216.1	1	36710	2	184	0.501226	0.00817216	39.9	0
NW_027266232.1	1	17465	2	267	1.52877	0.0171772	39.9	0
NW_027266256.1	1	8647	1	150	1.73471	0.0173471	40	0
NW_027266262.1	1	6868091	82	11487	0.167252	0.00178987	38.3	0
NC_008535.1	1	155189	27	3659	2.35777	0.0260972	39.6	11.3
NW_027266152.1	1	27834	0	0	0	0	0	0
NW_027266153.1	1	85510	0	0	0	0	0	0
NW_027266154.1	1	11286	0	0	0	0	0	0
NW_027266155.1	1	165930	0	0	0	0	0	0
NW_027266156.1	1	72139	0	0	0	0	0	0
NW_027266157.1	1	88571	0	0	0	0	0	0
NW_027266158.1	1	85180	0	0	0	0	0	0
NW_027266159.1	1	83483	0	0	0	0	0	0
NW_027266160.1	1	106409	0	0	0	0	0	0
NW_027266161.1	1	59250	0	0	0	0	0	0
NW_027266162.1	1	160555	0	0	0	0	0	0
NW_027266163.1	1	83150	0	0	0	0	0	0
