#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_092310.1	1	59034463	140	11922	0.020195	0.000252632	38.9	27.4
NC_092311.1	1	57716770	134	12274	0.0212659	0.000248957	39.2	23.7
NC_092312.1	1	76906396	170	15231	0.0198046	0.000236235	39.2	34.5
NC_092313.1	1	77301657	172	14931	0.0193152	0.000229452	38.7	22.5
NC_092314.1	1	44587295	107	10392	0.0233071	0.000264694	39.4	20.4
NC_092315.1	1	49228674	92	9980	0.0202727	0.000225661	39.4	27.5
NC_092316.1	1	52323663	76	7264	0.0138828	0.000156736	39.2	33.3
NC_092317.1	1	48754064	1748	10095	0.020706	0.00532116	37.1	2.3
NC_092318.1	1	55030746	112	12212	0.0221912	0.000247189	39	18.8
NC_092319.1	1	49172495	116	9936	0.0202064	0.000252458	39.1	28
NC_092320.1	1	63716479	134	12421	0.0194942	0.000221622	38.9	16.8
NC_092321.1	1	63214365	119	10867	0.0171907	0.000206694	39.2	24.8
NC_092322.1	1	40515400	138	12285	0.0303218	0.000348509	39	17.3
NC_092323.1	1	50646195	302	20696	0.0408639	0.000598702	38.6	8.12
NC_092324.1	1	53737150	88	8593	0.0159908	0.000194484	38.9	27.3
NC_092325.1	1	46623164	135	7941	0.0170323	0.000239967	38.9	14.4
NC_092326.1	1	44254144	96	9865	0.0222917	0.000257784	39.2	27.7
NC_092327.1	1	41449412	72	8385	0.0202295	0.00021677	39.4	33.1
NC_092328.1	1	48872521	114	10867	0.0222354	0.000261926	39.5	23.4
NC_092329.1	1	54177763	111	9521	0.0175736	0.000218152	39.2	23.4
NC_092330.1	1	45802622	108	9435	0.0205993	0.000234746	38.8	24.8
NC_092331.1	1	62661540	515	40014	0.0638574	0.00077783	38.6	5.12
NW_027266155.1	1	165930	2	300	0.180799	0.00180799	39.8	60
NW_027266164.1	1	86285	1	72	0.0834444	0.000834444	40	0
NW_027266174.1	1	25189	2	299	1.18703	0.01191	39.8	0
NW_027266175.1	1	51392	2	230	0.44754	0.00583748	39.7	0
NW_027266189.1	1	35175	2	300	0.852878	0.00852878	40	0
NW_027266209.1	1	135785	1	150	0.110469	0.00110469	39.1	0
NW_027266225.1	1	18336	3	450	2.45419	0.0245419	39.6	0
NW_027266231.1	1	36398	2	300	0.824221	0.00824221	39.6	60
NW_027266233.1	1	17172	1	150	0.873515	0.00873515	40	0
NW_027266256.1	1	8647	1	38	0.439459	0.00439459	39.6	0
NW_027266262.1	1	6868091	244	21448	0.312285	0.00332873	38.7	1.16
NC_008535.1	1	155189	109	10846	6.9889	0.087184	39.4	9.86
NW_027266152.1	1	27834	0	0	0	0	0	0
NW_027266153.1	1	85510	0	0	0	0	0	0
NW_027266154.1	1	11286	0	0	0	0	0	0
NW_027266156.1	1	72139	0	0	0	0	0	0
NW_027266157.1	1	88571	0	0	0	0	0	0
NW_027266158.1	1	85180	0	0	0	0	0	0
NW_027266159.1	1	83483	0	0	0	0	0	0
NW_027266160.1	1	106409	0	0	0	0	0	0
NW_027266161.1	1	59250	0	0	0	0	0	0
NW_027266162.1	1	160555	0	0	0	0	0	0
NW_027266163.1	1	83150	0	0	0	0	0	0
NW_027266165.1	1	81071	0	0	0	0	0	0
NW_027266166.1	1	10235	0	0	0	0	0	0
NW_027266167.1	1	84827	0	0	0	0	0	0
NW_027266168.1	1	20037	0	0	0	0	0	0
NW_027266169.1	1	51748	0	0	0	0	0	0
NW_027266170.1	1	6834	0	0	0	0	0	0
NW_027266171.1	1	137395	0	0	0	0	0	0
NW_027266172.1	1	81056	0	0	0	0	0	0
NW_027266173.1	1	88264	0	0	0	0	0	0
NW_027266176.1	1	114993	0	0	0	0	0	0
NW_027266177.1	1	25971	0	0	0	0	0	0
NW_027266178.1	1	82386	0	0	0	0	0	0
NW_027266179.1	1	149956	0	0	0	0	0	0
NW_027266180.1	1	98811	0	0	0	0	0	0
NW_027266181.1	1	34951	0	0	0	0	0	0
NW_027266182.1	1	18777	0	0	0	0	0	0
NW_027266183.1	1	97437	0	0	0	0	0	0
NW_027266184.1	1	50892	0	0	0	0	0	0
NW_027266185.1	1	45501	0	0	0	0	0	0
NW_027266186.1	1	92025	0	0	0	0	0	0
NW_027266187.1	1	101479	0	0	0	0	0	0
NW_027266188.1	1	170650	0	0	0	0	0	0
NW_027266190.1	1	56500	0	0	0	0	0	0
NW_027266191.1	1	23128	0	0	0	0	0	0
NW_027266192.1	1	36459	0	0	0	0	0	0
NW_027266193.1	1	54609	0	0	0	0	0	0
NW_027266194.1	1	21013	0	0	0	0	0	0
NW_027266195.1	1	65727	0	0	0	0	0	0
NW_027266196.1	1	26852	0	0	0	0	0	0
NW_027266197.1	1	32264	0	0	0	0	0	0
NW_027266198.1	1	14337	0	0	0	0	0	0
NW_027266199.1	1	67567	0	0	0	0	0	0
NW_027266200.1	1	160454	0	0	0	0	0	0
NW_027266201.1	1	84315	0	0	0	0	0	0
NW_027266202.1	1	67244	0	0	0	0	0	0
NW_027266203.1	1	25458	0	0	0	0	0	0
NW_027266204.1	1	39518	0	0	0	0	0	0
NW_027266205.1	1	50354	0	0	0	0	0	0
NW_027266206.1	1	38848	0	0	0	0	0	0
NW_027266207.1	1	95218	0	0	0	0	0	0
NW_027266208.1	1	68090	0	0	0	0	0	0
NW_027266210.1	1	51633	0	0	0	0	0	0
NW_027266211.1	1	19557	0	0	0	0	0	0
NW_027266212.1	1	71401	0	0	0	0	0	0
NW_027266213.1	1	69457	0	0	0	0	0	0
NW_027266214.1	1	24638	0	0	0	0	0	0
NW_027266215.1	1	6964	0	0	0	0	0	0
NW_027266216.1	1	36710	0	0	0	0	0	0
NW_027266217.1	1	18858	0	0	0	0	0	0
NW_027266218.1	1	24221	0	0	0	0	0	0
NW_027266219.1	1	12882	0	0	0	0	0	0
NW_027266220.1	1	21154	0	0	0	0	0	0
NW_027266221.1	1	64073	0	0	0	0	0	0
NW_027266222.1	1	51569	0	0	0	0	0	0
NW_027266223.1	1	23531	0	0	0	0	0	0
NW_027266224.1	1	48698	0	0	0	0	0	0
NW_027266226.1	1	68777	0	0	0	0	0	0
NW_027266227.1	1	18692	0	0	0	0	0	0
NW_027266228.1	1	7556	0	0	0	0	0	0
NW_027266229.1	1	8604	0	0	0	0	0	0
NW_027266230.1	1	77378	0	0	0	0	0	0
NW_027266232.1	1	17465	0	0	0	0	0	0
NW_027266234.1	1	62221	0	0	0	0	0	0
NW_027266235.1	1	19583	0	0	0	0	0	0
NW_027266236.1	1	12334	0	0	0	0	0	0
NW_027266237.1	1	29992	0	0	0	0	0	0
NW_027266238.1	1	29413	0	0	0	0	0	0
NW_027266239.1	1	43474	0	0	0	0	0	0
NW_027266240.1	1	20665	0	0	0	0	0	0
NW_027266241.1	1	25916	0	0	0	0	0	0
NW_027266242.1	1	16735	0	0	0	0	0	0
NW_027266243.1	1	35727	0	0	0	0	0	0
NW_027266244.1	1	18285	0	0	0	0	0	0
NW_027266245.1	1	40427	0	0	0	0	0	0
NW_027266246.1	1	60304	0	0	0	0	0	0
NW_027266247.1	1	12746	0	0	0	0	0	0
NW_027266248.1	1	20808	0	0	0	0	0	0
NW_027266249.1	1	9122	0	0	0	0	0	0
NW_027266250.1	1	8768	0	0	0	0	0	0
NW_027266251.1	1	9360	0	0	0	0	0	0
NW_027266252.1	1	31503	0	0	0	0	0	0
NW_027266253.1	1	41413	0	0	0	0	0	0
NW_027266254.1	1	17512	0	0	0	0	0	0
NW_027266255.1	1	17800	0	0	0	0	0	0
NW_027266257.1	1	19051	0	0	0	0	0	0
NW_027266258.1	1	11300	0	0	0	0	0	0
NW_027266259.1	1	40430	0	0	0	0	0	0
NW_027266260.1	1	9552	0	0	0	0	0	0
NW_027266261.1	1	12784	0	0	0	0	0	0
